FONTE_STN_COD;ANO;MES_COD;UO_COD;FONTE_COD;RECEITA_COD
500;2023;1;2071;10;7729990125000,0
500;2023;1;2151;10;1922990199000,0
500;2023;1;2181;10;1922990199000,0
500;2023;1;2261;10;1922990199000,0
500;2023;1;2261;10;7729990125000,0
500;2023;1;2271;10;1922990199000,0
500;2023;1;2271;10;7729990125000,0
500;2023;1;2311;10;1922990199000,0
500;2023;1;2321;10;1922990199000,0
500;2023;1;2321;10;7729990125000,0
500;2023;1;2351;10;1922990199000,0
500;2023;1;2371;10;1922990199000,0
500;2023;1;4291;10;1922990199000,0
500;2023;1;4711;10;1922990199000,0
500;2023;1;9999;10;1112510101000,0
500;2023;1;9999;10;1112510201000,0
500;2023;1;9999;10;1112510301000,0
500;2023;1;9999;10;1112520101000,0
500;2023;1;9999;10;1112520201000,0
500;2023;1;9999;10;1112520301000,0
500;2023;1;9999;10;1113031101000,0
500;2023;1;9999;10;1114501101001,0
500;2023;1;9999;10;1114501201001,0
500;2023;1;9999;10;1114501301001,0
500;2023;1;9999;10;1114501301002,0
500;2023;1;9999;10;1711500101000,0
500;2023;1;9999;10;1711530101000,0
500;2023;1;9999;10;1711550101000,0
500;2023;1;9999;10;1922011101000,0
500;2023;1;9999;10;1922063199000,0
500;2023;1;9999;10;1922990101000,0
500;2023;1;9999;10;1922990199000,0
500;2023;1;9999;10;1999992108999,0
500;2023;1;9999;10;7729990125000,0
500;2023;1;9999;10;7922990199000,0
500;2023;1;9999;10;9114501301002,0
500;2023;2;1541;10;7729990125000,0
500;2023;2;2321;10;1321010101000,0
500;2023;2;9999;10;1321010101000,0
500;2023;3;1451;10;7729990125000,0
500;2023;3;9999;10;1911090199000,0
500;2023;4;1451;10;1922990199000,0
500;2023;5;1401;10;7729990125000,0
500;2023;5;1481;10;7729990125000,0
500;2023;8;2321;10;1922990101000,0
500;2023;12;9999;10;1114501101002,0
500;2023;12;9999;10;1114501201002,0
500;2023;12;9999;10;9114501101002,0
500;2023;12;9999;10;9114501201002,0
500;2024;1;2271;10;1922990101000,0
500;2024;1;4291;10;1922990101000,0
500;2024;1;4631;10;7729990125000,0
500;2024;1;9999;10;1113034101000,0
501;2023;1;1011;60;1321010101000,0
501;2023;1;1011;60;1361011101000,0
501;2023;1;1011;60;1922990199000,0
501;2023;1;1011;60;1999992199000,0
501;2023;1;1021;60;1321010101000,0
501;2023;1;1021;60;1922063199000,0
501;2023;1;1031;60;1321010101000,0
501;2023;1;1031;60;1922990199000,0
501;2023;1;1031;60;1999992199000,0
501;2023;1;1051;60;1321010101000,0
501;2023;1;1091;60;1922990199000,0
501;2023;1;1251;60;1311012101000,0
501;2023;1;1251;60;1311021101000,0
501;2023;1;1251;60;1611010124000,0
501;2023;1;1251;60;1611010199001,0
501;2023;1;1251;60;1611020101000,0
501;2023;1;1251;60;1922990199000,0
501;2023;1;1401;60;1611010127000,0
501;2023;1;1401;60;1911010106000,0
501;2023;1;1401;60;1922063199000,0
501;2023;1;1451;60;1923990101000,0
501;2023;1;1511;60;1611010106000,0
501;2023;1;1511;60;1611010109000,0
501;2023;1;1911;11;1911010103001,0
501;2023;1;1911;15;1321010101000,0
501;2023;1;2011;60;1219991101008,0
501;2023;1;2011;60;1219991102003,0
501;2023;1;2011;60;1219991102008,0
501;2023;1;2011;60;1219991102009,0
501;2023;1;2011;60;1219991102010,0
501;2023;1;2011;60;1219991102011,0
501;2023;1;2011;60;1219991299000,0
501;2023;1;2011;60;1219991399000,0
501;2023;1;2011;60;1219991499000,0
501;2023;1;2011;60;1311021199000,0
501;2023;1;2011;60;1321010101000,0
501;2023;1;2011;60;1611010120000,0
501;2023;1;2011;60;1611010199001,0
501;2023;1;2011;60;1631990105001,0
501;2023;1;2011;60;1631990105002,0
501;2023;1;2011;60;1911090199000,0
501;2023;1;2011;60;1922063199000,0
501;2023;1;2011;60;1922990199000,0
501;2023;1;2011;60;1999992199000,0
501;2023;1;2011;60;7311011101000,0
501;2023;1;2041;60;1321010101000,0
501;2023;1;2041;60;1922990199000,0
501;2023;1;2041;60;1999992102000,0
501;2023;1;2041;60;1999992103000,0
501;2023;1;2061;60;1321010101000,0
501;2023;1;2061;60;1611010103000,0
501;2023;1;2061;60;1611010124000,0
501;2023;1;2061;60;1611010130000,0
